perc
95.00
70.16
90.33
78.17
56.33
92.00
91.83
10.00
84.50
83.33
66.67
81.17
49.67
22.17
83.50
89.50
94.50
38.83
25.17
98.00
82.83
93.00
97.00
53.66
94.00
29.33
53.33
91.50
