perc
78.41
11.36
90.91
50.57
84.09
46.59
46.59
101.14
53.41
88.64
92.05
54.55
76.14
100.57
76.14
79.55
40.91
42.05
36.36
65.91
56.82
76.14
71.59
62.50
87.50
55.68
64.77
